id,model_id,category,equipment,item,criteria,method
121,1,発電機,エンジン,エンジンオイル,エンジンオイル量,レベルゲージ中央
122,1,発電機,リザーバータンク,冷却水量及び濃度（色）,水量及び濃度（色）,ラジエーターコアが露出し無、レベル中央、濃度約２０％以上
123,1,発電機,バッテリー,バッテリー液、端子、配線,液量、ターミナルの緩み、配線の摺動,レベル以上（極版が露出していない）、ターミナルの緩み、配線の短絡が無
124,1,発電機,オルタネーター,Vベルト,張り及び摩耗、損傷の確認,約70kNで押さえ1０～20mm程度、擦れ摩耗が無
125,1,発電機,主発電機,電源出力（電流・弾圧）,計器による出力確認,エンジン回転及びつまみにより、規定値調整が可能
126,1,発電機,主発電機,端子・配線,端子の緩み、配線の接続,端子ネジの緩み無、配線外皮の摩耗が無
127,1,発電機,各種スイッチ,スイッチ・ブレーカー,使用時ON、終了後OFFの確認,使用後OFF
128,1,除雪装置,除雪アタッチメント,除雪装置取付部,ボルト緩み点検,接続部のボルト緩みが内無
129,1,除雪装置,オーガブレーキ,オーガブレーキ,ブレーキレバー,運転室内のレバー操作により遊びが無・引き代に余裕があること
130,1,除雪装置,"プロペラシャフト（作業No1,2,3）",取付ボルト,緩み（Iマーク）、脱落の確認,Iマークのずれが無（Iマークが無い場合は確認締め）
131,1,除雪装置,"プロペラシャフト（作業No1,2,3）",ユニバーサルジョイント,グリース切れ,グリスの飛散が無く、錆等の痕が無
132,1,除雪装置,"プロペラシャフト（作業No1,2,3）",スプライン,錆付き、グリース切れ,グリスの飛散が無く、錆等の痕が無
