製造メーカー,機種,エンジン型式,部位,装置,手順,確認箇所,判断基準,確認要領,測定等記録,図形記録
,,,駐車ブレーキ,留置ブレーキ（手ブレーキ）,,作動確認,ブレーキの効き具合,ブレーキレバーの遊びが無・引き代があり、ディスクにパッドが密着している,,
,,,駐車ブレーキ,留置ブレーキ（キャリパ）,,キャリパ,キャリパ取付ボルトの緩み,,,
,,,駐車ブレーキ,ディスクブレーキ（MCR）,,ディスク,ディスク取付ボルトの緩み,リンク部のグリス乾燥、MSCSセンサー位置が検知範囲である,,
,,,駐車ブレーキ,ディスクブレーキ（MCR）,,ブレーキリンク,リンクワイヤーの戻り、割ピン等脱落,レバー引き及び戻しにおいて、掛かりが無,,
,,,駐車ブレーキ,バネブレーキ,,押しボタン,作動確認,押しボタンONによる、エアー抜けの音及びブレーキシューが開いている,,
,,,駐車ブレーキ,バネブレーキ,,非常用停止コック,非常用コックの位置を確認,通常：解放,,
,,,駐車ブレーキ,バネブレーキ,,エアーホース,摺動・損傷状態,摺動による傷や亀裂が無,,
,,,駐車ブレーキ,バネブレーキ,,ブレーキパット（ディスク式）,ディスクブレーキパッドの厚さ,？？？,,
,,,電気装置,バッテリー,,バッテリー液、端子、配線,液量、ターミナルの緩み、配線の摺動,レベル以上（極版が露出していない）、ターミナルの緩み、配線の短絡が無,,
,,,電気装置,バッテリー,,バッテリーリレー,作動及び取付状態,イグニションON時の切換り音、電装品（パネル灯等）点灯,,
,,,電気装置,バッテリー,,メインブレーカー,ブレーカー作動確認,ブレーカ入り・切りによる電装品の作動,,
,,,運転台,アクセル,,アクセルペダル,作動状態の確認,エンジン回転がスムーズにコントロールできる,,
,,,運転台,アクセル（MCR）,,アクセルコントロールダイヤル,作動状態の確認,つまみ回転に応じたエンジン回転となる,,
,,,運転台,アクセル,,暖気用チョーク,作動状態の確認,ダイヤルを引く、または回転に応じたエンジン回転となる,,
,,,運転台,入換ブレーキ弁,,ハンドル動作,ブレーキ操作による作動、エアー漏れの確認,ハンドルがスムーズに動く、,,
,,,運転台,入換ブレーキ弁,,ブレーキ圧,ブレーキ作用及び漏洩の確認,ブレーキ圧の保持、40kpa/min以下,,
,,,運転台,入換ブレーキ弁,,ブレーキ管切換レバー,作動及び開閉位置,通常：解放（被牽引時、締め）,,
,,,運転台,配電盤,,各種ブレーカー,ブレーカーの開及び短絡,運用時にすべてがON,,
,,,運転台,トルコン切換スイッチ,,前後進切換スイッチ,レーバーによる走行動作確認,保材線等では力行（車両が走行開始する感）状態,,
,,,運転台,油圧走行（MCR）,,前後進レバー,レーバーによる走行動作確認,保材線等では力行（車両が走行開始する感）状態,,
,,,運転台,速度セレクトスイッチ（MCR）,,セレクトスイッチ,作動状態の確認,保材線等では、1～4速切換力行の感の違い,,
,,,運転台,イグニションキー,,アクセサリー・スターター作動,作動状態の確認,各種電装品の電源ON、スターター始動する,,
,,,運転台,スイッチ及び計器,,電流計,充電状態の確認,エンジン始動後、10～20secでほぼOAを指す。,,
,,,運転台,スイッチ及び計器,,エンジン回転計,エンジン回転速度の指針を確認,"アイドリング６００～2,000RPMまでスムーズに指する。",,
,,,運転台,スイッチ及び計器,,エンジン水温計,指針が緑色の範囲,指針が赤色を示さないこと,,
,,,運転台,スイッチ及び計器,,各種照明スイッチ,作動状態の確認,ブレーキ作用時点滅,,
,,,運転台,スイッチ及び計器,,トルコン補給圧,補給圧の確認,"0.3 ～ 0.６Mpa（エンジン回転　1,200 ～ 1,600ｒｐｍ）",Mpa,
,,,運転台,スイッチ及び計器,,トルコンクラッチ圧,クラッチ圧の確認,"2.１ ～ 2.5Mpa （エンジン回転　1,200 ～ 1,600ｒｐｍ）",Mpa,
,,,運転台,スイッチ及び計器,,トルコン油温計,指針が緑色の範囲,指針が赤色を示さないこと,,
,,,運転台,スイッチ及び計器,,空気圧力計（元ダメ）,蓄圧確認,690 ～ 785Kpa,最大　　　kpa,
,,,運転台,スイッチ及び計器,,双針圧計（ブレーキ圧）,作動確認,運転位置：０kpa、非常：約500kpa,非常　　　kpa,
,,,運転台,スイッチ及び計器,,双針圧計（ブレーキ管圧）,蓄圧確認,運転位置：490kpa,ブレーキ管　　　kpa,
,,,運転台,スイッチ及び計器,,PTOスイッチ,作動確認,スイッチON、転車台・クレーン装置が作動する,,
,,,運転台,灯具類,,前照灯・補助灯,作動確認,対応したスイッチを入れ、点灯する,,
,,,運転台,灯具類,,サーチライト,作動確認,対応したスイッチを入れ、点灯及び照明方向が移動する,,
,,,運転台,灯具類,,尾灯（エバスコ）,制動時の後方点滅,ブレーキ圧（約200kpa）又はスイッチONで点滅する,,
,,,運転台,灯具類,,回転灯,回転及び点灯状態,反射板の回転及び照明の点灯（LEDの場合は点滅）,,
,,,運転台,灯具類,,隣接線回転灯,左右回転灯点灯,反射板の回転及び照明の点灯（LEDの場合は点滅）,,
,,,運転台,灯具類,,室内灯及び計器灯,各種スイッチONによる点灯状態,スイッチに対応した照明が点灯する,,
,,,運転台,灯具類,,作業灯,照明灯の点灯及び取付状態の確認,スイッチに対応した照明が点灯する,,
,,,運転台,支援装置（MSCS）,,電源ブレーカー,作動状態の確認,常時ON,,
,,,運転台,支援装置（MSCS）,,手歯止めセンサー,手歯止めの設置及びLED（赤）点灯の確認,手歯止め設置により赤LED点灯及び表示盤に表示,,
,,,運転台,支援装置（承認区間逸脱防止）,,本体及びモニター,起動及び表示,PCの起動、スタート画面の表示,,
,,,運転台,支援装置（承認区間逸脱防止）,,データ読込み,データ読み込み、表示確認,データ読み込み、シミュレーション画面表示,,
,,,運転台,ドライブレコーダー,,カメラ,取付け状態,ブラケット及びネジの弛みが無,,
,,,運転台,ドライブレコーダー,,カメラ,起動及び作動状態,音声及びLED点灯,,
,,,運転台,ドライブレコーダー,,CFカード等,記憶容量の残量,青色LED点灯（紫・赤）容量不足,,
,,,運転台,ワイパー,,ワイパーモータ、ワイパーゴム,作動確認,ワイパーゴムの固着が無、スムーズに作動する,,
,,,車体,連結部,,自動連結器,自動連結器のロック,解放テコ及びナックルが定位（錠が下がり、ナックルが閉じ）,,
,,,車体,連結部,,自動連結器解放テコの作動状態,自動連結器解放テコの作動状態,解放テコにより錠を引き上げ、ナックルが開く,,
,,,車体,連結部,,ピン連結器,連結状態,連結棒を挿入した後、抜け止めレバーが垂下している,,
,,,車体,連結部,,ピン連結器,取付状態,連結器本体の取付ボルト緩み、脱落防止チェーン外れが無,,
,,,車体,連結部（共通）,,配線コネクター,配線カバー取付及び損傷状態,カバーの取付・取外し、脱落防止している,,
,,,車体,連結部（共通）,,ブレーキ管取付及び肘コック,ブレーキ管取付及び肘コック解放,連結時：開き,,
,,,車体,連結部（共通）,,直通エアーカプラー,直通エアー配管取付状態,エアー漏れの無,,
,,,車体,転車台,,ロック,ロックピン又はフックのロック及び作動状態,ロックの掛かり,,
,,,車体,転車台,,昇降シリンダー,昇降シリンダー・配管ホースからの油漏れ,シリンダー及び配管接続部からの油漏れが無,,
,,,車体,転車台,,回転台,給脂状態,スムーズに回転する,,
,,,車体,ステップ,,昇降用ステップ,変形・損傷,取付ボルト等の弛み、変形や損傷が無,,
,,,車体,各防音扉,,ロック及びチェーン等,ロックの確認,エンジンルーム、キャビン両側面等が閉じ確実にロックされている,,
,,,クレーン装置,クレーン装置,,ブーム及びアウトリガー,収納ロック、アウトリガーはリミットブロック切り確認,ブームが収納され、リッミトが切れている,,
,,,クレーン装置,クレーン装置,,隣接線支障防止装置,作動状態,左右選択し、ブームが停止する,,
,,,クレーン装置,クレーン装置,,操作レバー,作動及び取付状態、エンジン回転調整,レバーがスムーズに押し引きでき、ガタつきが無、エンジン回転は調整できる,,
,,,クレーン装置,クレーン装置,,ホース・配管,劣化・油漏れ,ホース外皮の著しい劣化が無、接続部の弛み油漏れが無,,
,,,発電機,エンジン,,エンジンオイル,エンジンオイル量,レベルゲージ中央,,
,,,発電機,リザーバータンク,,冷却水量及び濃度（色）,水量及び濃度（色）,ラジエーターコアが露出し無、レベル中央、濃度約２０％以上,,
,,,発電機,バッテリー,,バッテリー液、端子、配線,液量、ターミナルの緩み、配線の摺動,レベル以上（極版が露出していない）、ターミナルの緩み、配線の短絡が無,,
,,,発電機,オルタネーター,,Vベルト,張り及び摩耗、損傷の確認,約70kNで押さえ1０～20mm程度、擦れ摩耗が無,,
,,,発電機,主発電機,,電源出力（電流・弾圧）,計器による出力確認,エンジン回転及びつまみにより、規定値調整が可能,,
,,,発電機,主発電機,,端子・配線,端子の緩み、配線の接続,端子ネジの緩み無、配線外皮の摩耗が無,,
,,,発電機,各種スイッチ,,スイッチ・ブレーカー,使用時ON、終了後OFFの確認,使用後OFF,,
,,,除雪装置,除雪アタッチメント,,除雪装置取付部,ボルト緩み点検,接続部のボルト緩みが内無,,
,,,除雪装置,オーガブレーキ,,オーガブレーキ,ブレーキレバー,運転室内のレバー操作により遊びが無・引き代に余裕があること,,
,,,除雪装置,"プロペラシャフト（作業No1,2,3）",,取付ボルト,緩み（Iマーク）、脱落の確認,Iマークのずれが無（Iマークが無い場合は確認締め）,,
,,,除雪装置,"プロペラシャフト（作業No1,2,3）",,ユニバーサルジョイント,グリース切れ,グリスの飛散が無く、錆等の痕が無,,
,,,除雪装置,"プロペラシャフト（作業No1,2,3）",,スプライン,錆付き、グリース切れ,グリスの飛散が無く、錆等の痕が無,,
,,,除雪装置,伝動機,,伝動機,油洩れ、ボルトの緩み点検,,,
,,,除雪装置,伝動機,,伝動機,伝動機油量、汚れ点検,,,
,,,除雪装置,チェーン伝動機,,チェーン伝動機,運転時の異音・取付ボルトの弛み,,,
,,,除雪装置,チェーン伝動機,,チェーン伝動機,油の汚れ・量及び漏れ,,,
,,,除雪装置,ブロア減速機,,ブロア減速機,運転時の異音・取付ボルトの弛み,,,
,,,除雪装置,ブロア減速機,,ブロア減速機,油の汚れ・量及び漏れ,,,
,,,除雪装置,掻寄翼、ウイング,,掻寄翼、ウイング,変形、亀裂の点検,,,
,,,除雪装置,掻寄翼、ウイング,,掻寄翼、ウイング,取付のガタ、緩み,,,
,,,除雪装置,掻寄翼、ウイング,,掻寄翼、ウイング,開閉の動作具合,,,
,,,除雪装置,オーガ、ブロア,,オーガ、ブロア,変形、亀裂の点検,,,
,,,除雪装置,ブロアケース,,ブロアケース,変形、亀裂の点検,,,
,,,除雪装置,ブロアケース,,ブロアケース,回転部のガタ及び作動具合,,,
,,,除雪装置,ブランジャー,,ブランジャー,替刃の損傷・変形・亀裂,,,
,,,除雪装置,ブランジャー,,ブランジャー,替刃取付ボルトの弛み,,,
,,,除雪装置,ブランジャー,,ブランジャー,フランジャーのリンクの作動具合,,,
,,,除雪装置,シュート,,シュート,変形、亀裂の点検,,,
,,,除雪装置,シュート,,シュート,回転及び開閉の作動具合,,,
,,,除雪装置,シュート,,シュート,ピン部のガタ・弛み,,,
,,,除雪装置,連結部（MCR）,,ラッセル（フランジャ板）,フランジャ取付状態,,,
,,,除雪装置,連結部（MCR）,,連結機器,ブラケット取付フランジ収納,,,
,,,除雪装置,連結部（MCR）,,連結機器,連結ブラケット収納状態,,,
