id,manufacturer,model,category,equipment,item,method,criteria,measurementRecord,diagramRecord
96,堀川工機,MC300,運転台,灯具類,室内灯及び計器灯,スイッチに対応した照明が点灯する,各種スイッチONによる点灯状態,,
97,堀川工機,MC300,運転台,灯具類,作業灯,スイッチに対応した照明が点灯する,照明灯の点灯及び取付状態の確認,,
98,堀川工機,MC300,運転台,支援装置（MSCS）,電源ブレーカー,常時ON,作動状態の確認,,
99,堀川工機,MC300,運転台,支援装置（MSCS）,手歯止めセンサー,手歯止め設置により赤LED点灯及び表示盤に表示,手歯止めの設置及びLED（赤）点灯の確認,,
100,堀川工機,MC300,運転台,支援装置（承認区間逸脱防止）,本体及びモニター,PCの起動、スタート画面の表示,起動及び表示,,
101,堀川工機,MC300,運転台,支援装置（承認区間逸脱防止）,データ読込み,データ読み込み、シミュレーション画面表示,データ読み込み、表示確認,,
102,堀川工機,MC300,運転台,ドライブレコーダー,カメラ,ブラケット及びネジの弛みが無,取付け状態,,
103,堀川工機,MC300,運転台,ドライブレコーダー,カメラ,音声及びLED点灯,起動及び作動状態,,
104,堀川工機,MC300,運転台,ドライブレコーダー,CFカード等,青色LED点灯（紫・赤）容量不足,記憶容量の残量,,
105,堀川工機,MC300,運転台,ワイパー,ワイパーモータ、ワイパーゴム,ワイパーゴムの固着が無、スムーズに作動する,作動確認,,
106,堀川工機,MC300,車体,連結部,自動連結器,解放テコ及びナックルが定位（錠が下がり、ナックルが閉じ）,自動連結器のロック,,
107,堀川工機,MC300,車体,連結部,自動連結器解放テコの作動状態,解放テコにより錠を引き上げ、ナックルが開く,自動連結器解放テコの作動状態,,
108,堀川工機,MC300,車体,連結部,ピン連結器,連結棒を挿入した後、抜け止めレバーが垂下している,連結状態,,
109,堀川工機,MC300,車体,連結部,ピン連結器,連結器本体の取付ボルト緩み、脱落防止チェーン外れが無,取付状態,,
110,堀川工機,MC300,車体,連結部（共通）,配線コネクター,カバーの取付・取外し、脱落防止している,配線カバー取付及び損傷状態,,
111,堀川工機,MC300,車体,連結部（共通）,ブレーキ管取付及び肘コック,連結時：開き,ブレーキ管取付及び肘コック解放,,
112,堀川工機,MC300,車体,連結部（共通）,直通エアーカプラー,エアー漏れの無,直通エアー配管取付状態,,
113,堀川工機,MC300,車体,転車台,ロック,ロックの掛かり,ロックピン又はフックのロック及び作動状態,,
114,堀川工機,MC300,車体,転車台,昇降シリンダー,シリンダー及び配管接続部からの油漏れが無,昇降シリンダー・配管ホースからの油漏れ,,
115,堀川工機,MC300,車体,転車台,回転台,スムーズに回転する,給脂状態,,
116,堀川工機,MC300,車体,ステップ,昇降用ステップ,取付ボルト等の弛み、変形や損傷が無,変形・損傷,,
117,堀川工機,MC300,車体,各防音扉,ロック及びチェーン等,エンジンルーム、キャビン両側面等が閉じ確実にロックされている,ロックの確認,,
118,堀川工機,MC300,クレーン装置,クレーン装置,ブーム及びアウトリガー,ブームが収納され、リッミトが切れている,収納ロック、アウトリガーはリミットブロック切り確認,,
119,堀川工機,MC300,クレーン装置,クレーン装置,隣接線支障防止装置,左右選択し、ブームが停止する,作動状態,,
120,堀川工機,MC300,クレーン装置,クレーン装置,操作レバー,レバーがスムーズに押し引きでき、ガタつきが無、エンジン回転は調整できる,作動及び取付状態、エンジン回転調整,,
121,堀川工機,MC300,クレーン装置,クレーン装置,ホース・配管,ホース外皮の著しい劣化が無、接続部の弛み油漏れが無,劣化・油漏れ,,
122,堀川工機,MC300,発電機,エンジン,エンジンオイル,レベルゲージ中央,エンジンオイル量,,
123,堀川工機,MC300,発電機,リザーバータンク,冷却水量及び濃度（色）,ラジエーターコアが露出し無、レベル中央、濃度約２０％以上,水量及び濃度（色）,,
124,堀川工機,MC300,発電機,バッテリー,バッテリー液、端子、配線,レベル以上（極版が露出していない）、ターミナルの緩み、配線の短絡が無,液量、ターミナルの緩み、配線の摺動,,
125,堀川工機,MC300,発電機,オルタネーター,Vベルト,約70kNで押さえ1０～20mm程度、擦れ摩耗が無,張り及び摩耗、損傷の確認,,
126,堀川工機,MC300,発電機,主発電機,電源出力（電流・弾圧）,エンジン回転及びつまみにより、規定値調整が可能,計器による出力確認,,
127,堀川工機,MC300,発電機,主発電機,端子・配線,端子ネジの緩み無、配線外皮の摩耗が無,端子の緩み、配線の接続,,
128,堀川工機,MC300,発電機,各種スイッチ,スイッチ・ブレーカー,使用後OFF,使用時ON、終了後OFFの確認,,
129,トランシス,MC300,除雪装置,除雪アタッチメント,除雪装置取付部,接続部のボルト緩みが内無,ボルト緩み点検,,
130,トランシス,MC300,除雪装置,オーガブレーキ,オーガブレーキ,運転室内のレバー操作により遊びが無・引き代に余裕があること,ブレーキレバー,,
131,トランシス,MC300,除雪装置,"""プロペラシャフト（作業No1",2,取付ボルト,"3）""",緩み（Iマーク）、脱落の確認,Iマークのずれが無（Iマークが無い場合は確認締め）
132,トランシス,MC300,除雪装置,"""プロペラシャフト（作業No1",2,ユニバーサルジョイント,"3）""",グリース切れ,グリスの飛散が無く、錆等の痕が無
133,トランシス,MC300,除雪装置,"""プロペラシャフト（作業No1",2,スプライン,"3）""",錆付き、グリース切れ,グリスの飛散が無く、錆等の痕が無
134,トランシス,MC300,除雪装置,伝動機,伝動機,,油洩れ、ボルトの緩み点検,,
135,トランシス,MC300,除雪装置,伝動機,伝動機,,伝動機油量、汚れ点検,,
136,トランシス,MC300,除雪装置,チェーン伝動機,チェーン伝動機,,運転時の異音・取付ボルトの弛み,,
137,トランシス,MC300,除雪装置,チェーン伝動機,チェーン伝動機,,油の汚れ・量及び漏れ,,
138,トランシス,MC300,除雪装置,ブロア減速機,ブロア減速機,,運転時の異音・取付ボルトの弛み,,
139,トランシス,MC300,除雪装置,ブロア減速機,ブロア減速機,,油の汚れ・量及び漏れ,,
140,トランシス,MC300,除雪装置,掻寄翼、ウイング,掻寄翼、ウイング,,変形、亀裂の点検,,
141,トランシス,MC300,除雪装置,掻寄翼、ウイング,掻寄翼、ウイング,,取付のガタ、緩み,,
142,トランシス,MC300,除雪装置,掻寄翼、ウイング,掻寄翼、ウイング,,開閉の動作具合,,
143,トランシス,MC300,除雪装置,オーガ、ブロア,オーガ、ブロア,,変形、亀裂の点検,,
144,トランシス,MC300,除雪装置,ブロアケース,ブロアケース,,変形、亀裂の点検,,
145,トランシス,MC300,除雪装置,ブロアケース,ブロアケース,,回転部のガタ及び作動具合,,
146,トランシス,MC300,除雪装置,ブランジャー,ブランジャー,,替刃の損傷・変形・亀裂,,
147,トランシス,MC300,除雪装置,ブランジャー,ブランジャー,,替刃取付ボルトの弛み,,
148,トランシス,MC300,除雪装置,ブランジャー,ブランジャー,,フランジャーのリンクの作動具合,,
149,トランシス,MC300,除雪装置,シュート,シュート,,変形、亀裂の点検,,
150,トランシス,MC300,除雪装置,シュート,シュート,,回転及び開閉の作動具合,,
151,トランシス,MC300,除雪装置,シュート,シュート,,ピン部のガタ・弛み,,
152,トランシス,MC300,除雪装置,連結部（MCR）,ラッセル（フランジャ板）,,フランジャ取付状態,,
153,トランシス,MC300,除雪装置,連結部（MCR）,連結機器,,ブラケット取付フランジ収納,,
154,トランシス,MC300,除雪装置,連結部（MCR）,連結機器,,連結ブラケット収納状態,,
155,トランシス,MC300,,,,,,,
